Country,Population,Users,Penetration,Name,TV,TV Name
Afganistan,37209007,7337489,0.197,Afghanistan,100000,
Albania,2938428,2160000,0.735,Albania,700000,
Algeria,42679018,25428159,0.596,Algeria,3100000,
American Samoa,55727,24000,0.431,American Samoa,14000,
Andorra,77072,76242,0.989,Andorra,27000,
Angola,31787566,7078067,0.223,Angola,196000,
Anguilla,15174,12377,0.816,,1000,
Antarctica,2700,4400,1,,0,
Antigua & Barbuda,104909,79731,0.76,,31000,
Argentina,44688864,41586960,0.931,Argentina,7950000,
Armenia,2936706,2126716,0.724,Armenia,825000,
Aruba,106053,103052,0.972,,20000,
Australia,25088636,21711706,0.865,Australia,10150000,
Austria,8766201,7708997,0.879,Austria,4250000,
Azerbaijan,10014575,7991630,0.798,Azerbaijan,170000,
Bahamas,403095,342631,0.85,the Bahamas,67000,
Bahrain,1637896,1615620,0.986,Bahrain,275000,
Bangladesh,168065920,96199000,0.572,Bangladesh,770000,
Barbados,287010,234659,0.818,Barbados,76000,
Belarus,9433874,7521628,0.797,Belarus,2520000,
Belgium,11562784,10857126,0.939,Belgium,4720000,
Belize,390231,200020,0.513,Belize,41000,
Benin,11801595,3801758,0.322,Benin,66000,
Bermuda,60833,59841,0.984,Bermuda,66000,
Bhutan,826229,397499,0.481,Bhutan,11000,
Bolivia,11215674,7570580,0.675,Bolivia,900000,
"Bonaire, St.Eustatius, Saba",25971,20956,0.807,,0,
Bosnia-Herzegovina,3501774,2828846,0.808,Bosnia and Herzegovina,0,
Botswana,2374636,1116079,0.47,Botswana,31000,
Brazil,210867954,149057635,0.707,Brazil,36500000,
British Virgin Islands,32206,14620,0.454,the British Virgin Islands,4000,
Brunei Darussulam,439336,416798,0.949,Brunei,201900,
Bulgaria,6988739,4663065,0.667,Bulgaria,3310000,
Burkina Faso,20321560,3704265,0.182,Burkina Faso,131340,
Burundi,11575964,617116,0.053,Burundi,25000,
Cabo Verde,560349,352120,0.628,Cape Verde,15000,
Cambodia,16482646,8005551,0.486,Cambodia,94000,
Cameroon,25312993,6128422,0.242,Cameroon,450000,
Canada,37279811,34558385,0.927,Canada,21500000,
Caribbean,44460412,22580218,50.8,United States~ Caribbean,0,
Cayman Islands,63129,54630,0.865,the Cayman Islands,7000,
Central African Rep.,4825711,256432,0.053,the Central African Republic,18000,
Chad,15814345,1027932,0.065,Chad,10000,
Chile,18197209,14108392,0.775,Chile,3150000,
China�*,1420062022,854000000,0.601,China,400000000,People's Republic of China
Christmas Island,2205,1000,0.454,,600,
Cocos (Keeling) Is.,596,80,0.134,,0,
Colombia,49464683,31275567,0.632,Colombia,4590000,
Comoros,850910,130578,0.153,,1000,
Congo,5542197,650000,0.117,Republic of the Congo,33000,
"Congo, Dem. Rep.",86727573,7475917,0.086,the Democratic Republic of the Congo,6480000,
Cook Islands,17462,11377,0.652,,4000,
Costa Rica,4999384,4296443,0.859,Costa Rica,525000,
Cote d'Ivoire,25531083,11953653,0.468,Ivory Coast,1090000,
Croatia,4140148,3787838,0.915,Croatia,1220000,
Cuba,11492046,5642595,0.491,Cuba,2640000,
Curacao,162547,151274,0.931,,0,
Cyprus,1198427,1011831,0.844,Cyprus,0,
Czech Republic,10630589,9323428,0.877,the Czech Republic,3410000,Czech Republic
Denmark,5775224,5649494,0.978,Denmark,3120000,
Djibouti,985690,548832,0.557,Djibouti,28000,
Dominica,74679,51992,0.696,Dominica,6000,
Dominican Republic,10996774,7146803,0.65,the Dominican Republic,770000,
Ecuador,16863425,13476687,0.799,Ecuador,2500000,
Egypt,101168745,49231493,0.487,Egypt,7700000,
El Salvador,6445405,3700000,0.574,El Salvador,600000,
Equatorial Guinea,1360104,356891,0.262,,4000,
Eritrea,5309659,71000,0.013,,1000,
Estonia,1303798,1276521,0.979,Estonia,605000,
Eswatini,1415414,665245,0.47,,0,
Ethiopia,110135635,20507255,0.186,Ethiopia,682000,
Falkland Islands,2922,2900,0.992,,1000,
Faroe Islands,49692,48489,0.976,the Faroe Islands,15000,
Fiji,918757,500958,0.545,Fiji,88110,
Finland,5561389,5225678,0.94,Finland,3200000,
France,65480710,60421689,0.923,France,34800000,
French Guiana,289763,120000,0.414,French Guiana,30000,
French Polynesia,288506,209744,0.727,,40000,
Gabon,2109099,1307641,0.62,,63000,
Gambia,2228075,442050,0.198,,5000,
Georgia,3904204,2658311,0.681,Georgia ,2570000,
Germany,82438639,79127551,0.96,Germany,51400000,
Ghana,30096970,11737818,0.39,Ghana,1900000,
Gibraltar,34879,32939,0.944,,10000,
Greece,11124603,8115397,0.729,Greece,2540000,
Greenland,56673,52000,0.918,,30000,
Grenada,108825,69245,0.636,,33000,
Guadeloupe,448798,240000,0.535,,118000,
Guam,167245,134649,0.805,Guam,106000,
Guatemala,17577842,7268597,0.414,Guatemala,1320000,
Guernsey & Alderney,66731,55807,0.836,Guernsey,0,
Guinea,13398180,2411672,0.18,,85000,
Guinea-Bissau,1953723,150000,0.077,,0,
Guyana,782225,395007,0.505,Guyana,46000,
Haiti,11242856,2000000,0.178,Haiti,38000,
Honduras,9568688,3600000,0.376,Honduras,570000,
Hong Kong�*,7490776,6698252,0.894,Hong Kong,1840000,
Hungary,9655361,8588776,0.89,Hungary,4420000,
Iceland,340566,337194,0.99,Iceland,98000,
India,1368737513,560000000,0.409,India,63000000,
Indonesia,269536482,171260000,0.635,Indonesia,13750000,
Iran,82503583,62702731,0.76,Iran,4610000,
Iraq,40412299,19947510,0.494,Iraq,1750000,
Ireland,4847139,4453436,0.919,the Republic of Ireland,1820000,Ireland
Israel,8583916,7002759,0.816,Israel,1690000,
Italy,59216525,54798299,0.925,Italy,30300000,
Jamaica,2906339,1581100,0.544,Jamaica,460000,
Japan,126854745,118626672,0.935,Japan,86500000,
Jersey,100097,70000,0.699,Jersey,0,
Jordan,10069794,8700000,0.864,Jordan,500000,
Kazakhstan,18592970,14669853,0.789,Kazakhstan,3880000,
Kenya,52214791,46870422,0.898,Kenya,730000,
Kiribati,120428,32947,0.274,Kiribati,1000,
"Korea, North",25727408,20000,0.001,North Korea,1200000,
"Korea, South",51339238,49234329,0.959,South Korea,15900000,
Kosovo,1907592,1693942,0.888,Kosovo,0,
Kuwait,4248974,4231978,0.996,Kuwait,875000,
Kyrgystan,6218616,2493400,0.401,Kyrgyzstan,210000,
Laos,7064242,2500000,0.354,Laos,52000,
Latvia,1911108,1663739,0.871,Latvia,1220000,
Lebanon,6065922,5546494,0.914,Lebanon,1180000,
Lesotho,2292682,682990,0.298,Lesotho,0,
Liberia,4977720,4028418,0.809,Liberia,70000,
Libya,6569864,3800000,0.578,Libya,730000,
Liechtenstein,38404,37674,0.981,Liechtenstein,12000,
Lithuania,2864459,2603900,0.909,Lithuania,1700000,
Luxembourg,596992,584037,0.978,Luxembourg,285000,
Macao�*,642090,538007,0.838,Macau,49000,
Madagascar,26969642,2643025,0.098,Madagascar,325000,
Malawi,19718743,2717243,0.138,Malawi,0,
Malaysia,32454455,26353017,0.812,Malaysia,10800000,
Maldives,451738,370000,0.819,the Maldives,10000,
Mali,19689140,12480176,0.634,,45000,
Malta,433245,360056,0.831,Malta,280000,
"Man, Isle of",85369,52000,0.609,the Isle of Man,0,
Marshall Islands,53211,20593,0.387,,0,
Martinique,385320,303302,0.787,,66000,
Mauritania,4661149,969519,0.208,,98000,
Mauritius,1271368,803896,0.632,Mauritius,258000,
Mayotte (FR),266380,107940,0.405,,3500,
Mexico,132328035,88000000,0.665,Mexico,25600000,
