ggl_name,bng_name,reach
Algérie Patriotique (Communiqué de presse) (Blog),,950585
El Moudjahid,,712939
El Watan,,4752926
Jornal de Angola,,2359355
Banouto (Satire) (Communiqué de presse),,760351
lanationbenin.info,,760351
The Guardian,,1239972
Mmegi Online,,152192
The Patriot On Sunday (press release),,152192
Cameroon Tribune,,1414251
Le Messager,,1414251
Expresso das Ilhas (liberação de imprensa),,14227
BBC News,,252093010
Alwihda Info,,256983
Le Soir,,649466
Agence d'Information d'Afrique Centrale,,498394
اخبار اليوم (بيان صحفي),,81834
Ahram Online,,11347684
Egypt Independent,,763786
المصري اليوم,,1091123
بوابة الوفد الاخبارية,,196402
اليوم السابع,,81834
Financialbuzz.com,,81834
Armenian Weekly,,81834
MENAFN.COM,,685746
Egyptian Streets,,81834
Egypttoday,,316425
شبكة عيون الإخبارية,,81834
La Brujula Verde,,81834
inoСМИ.Ru,,81834
Gadaa.com Oduu - News,,459117
Daily Mail,,8251510
Financial Times,,348648
Graphic Online,,1033031
Modern Ghana,,348648
AllAfrica.com,,826425
Le Patriote,,1328183
The Standard,,3452873
The East African (press release) (blog),,2589654
Business Daily (press release) (blog),,2589654
The Star~ Kenya,,14931343
KDRTV,,2589654
Liberian Daily Observer,,7832
Front Page Africa,,10443
The New York Times,,3759508
Libya Herald,,430188
The Libya Observer,,430188
L'Express,,1975247
Madagascar Tribune,,440504
LINFO.re,,440504
Malawi24,,209018
Nyasa Times,,209018
Voice of America,,209018
L'express Maurice,,28710
Masala.com,,28710
Le Defi Media Group (Communiqué de presse),,28710
Paris Turf,,28710
Morocco World News,,141721
ladepeche.fr,,722211
abc24.ma,,566886
La Nouvelle Tribune,,141721
LE MATiN,,1889621
Le360.ma,,3023394
Aujourd'hui Le Maroc,,755848
L'Opinion,,2267545
libération,,141721
Finances News Hebdo,,141721
هسبريس,,141721
جريدة المنتخب (بيان صحفي),,141721
Tanja7.com,,141721
La Voix du Nord,,834392
صدى الصباحية,,141721
Allgemeine Zeitung,,32953
Namibia Economist,,24714
Namibian,,732292
New Era Live (press release),,164765
observer.com.na,,219687
NIGERIAN TRIBUNE (press release) (blog),,527269
Guardian (blog),,527269
Daily Post Nigeria,,527269
The Nation Newspaper,,527269
New Telegraph Newspaper,,7030265
Premium Times,,527269
Stears Business,,527269
The Sun,,9139345
The Nigerian Voice (press release) (blog),,527269
The New Times,,284839
Sud Quotidien,,696394
Le Quotidien,,696394
Arizona Daily Sun,,8117714
News24,,31820
SowetanLIVE,,3507305
Citizen,,31820
Mail and Guardian,,1458105
Independent Online,,1172797
Business Day,,31820
Twents Volksblad (persbericht) (Blog),,31820
Grocott's Mail Online,,31820
Daily Maverick,,31820
Eyewitness News,,31820
Atlantic Highlands Herald,,31820
Bizcommunity.com,,31820
TimesLIVE,,31820
Sandton Chronicle,,31820
Rising Sun Lenasia,,31820
Экспресс К,,31820
The Daily Gazette,,31820
The South African,,31820
Mirror.co.uk,,4802596
L'Opinione,,539346
Middle East Monitor,,539346
Radio Dabanga (press release),,539346
صحيفة اخر لحظة (سخرية) (بيان صحفي) (مدوّنة),,539346
La Presse de Tunisie,,500219
East African Business Week,,1033794
Daily Monitor (press release) (blog),,3339845
Independent,,1033794
The Observer,,1033794
Lusaka Times,,701494
Zambia Daily Mail,,935325
Zambian Watchdog,,701494
diggers.news,,701494
The Herald,,7590361
NewsDay,,37951
Chronicle,,37951
Zimbabwe Independent,,37951
Telegraph.co.uk,,1427258
Bulawayo24 News (press release) (blog),,37951
Business Weekly,,37951
ИА REGNUM,,514309
The Khaama Press News Agency (press release) (blog),,514309
Pajhwok Afghan News (blog),,514309
Sputnik Afghanistan,,685746
aravot-ru.am,,199691
MO,,399383
Armenpress.am,,239629
Eurasianet,,74884
Diario Armenia,,74884
erienewsnow.com,,74884
vestnik kavkaza,,147744
media.az,,147744
AzerNews,,147744
1news.az,,147744
АМИ Тренд (Сатира),,147744
أخبار الخليج,,255030
أخبار الوطن,,87985
