ggl_name,bng_name,reach
Mmegi Online,Mmegi,171000
Kuensel~ Buhutan's National Newspaper,Kuensel Online,149863
El Moudjahid,Carte,214739
Royal Gazette,The Royal Gazette,48675
Royal Gazette,The Royal Gazette,1015
El Watan,El Watan,201259
Bernews,Bernews,1015
Gulf Digital News,Trade Arabia,7398
The Tico Times,The Tico Times,1074110
Virgin Islands Daily News,The Virgin Islands Daily News,67540
aravot-ru.am,azatutyun.am,68884
Listín Diario (Comunicado de prensa),Dominican Today,1467358
Kleine Zeitung,Sports Mole,850548
أخبار الخليج,Zawya,23803
Wiener Zeitung,Talking Biz News,107436
La Cuarta,Sempreinter,805103
El Universo,sportwitness.co.uk,1221219
infobae América,BeBee,925000
Financial Mirror,Financial Mirror,55955
The Indian Panorama,программа,96143
Diario Libre (Comunicado de prensa) (blog),Dominican Today,4212086
ElEspectador.com,Colombia Reports,724183
The Rio Times,The Rio Times,6877788
El Caribe (Comunicado de prensa),NESN,682463
Brasil de Fato,brasildefato,326165
Glas Slavonije,mia.mk,93442
P\xc3\xa1gina 12,spaargids.be,644670
Slobodna Dalmacija,thedubrovniktimes.com,167023
Prensa Libre,InSight Crime,900464
Reykjav\xc3\xadk Grapevine,The Reykjavík Grapevine,39703
Iceland Monitor,mbl.is,31763
Juventud Rebelde,juventudrebelde.cu,96100
Jordan Times,Al Bawaba News,600715
Business Daily (press release) (blog),Business Daily Africa,7359308
\xd8\xa7\xd9\x84\xd9\x8a\xd9\x88\xd9\x85 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xa7\xd8\xa8\xd8\xb9,alaraby.co.uk,1899521
Egyptian Streets,Egyptian Streets,1899521
\xd9\xbe\xd8\xa7\xdb\x8c\xda\xaf\xd8\xa7\xd9\x87 \xd8\xae\xd8\xa8\xd8\xb1\xdb\x8c \xd8\xaa\xd8\xad\xd9\x84\xdb\x8c\xd9\x84\xdb\x8c \xd8\xa7\xd9\x86\xd8\xaa\xd8\xae\xd8\xa7\xd8\xa8 | Entekhab.ir,koreatimes.co.kr,2356549
\xeb\x89\xb4\xec\x8a\xa4\xed\x95\x8c,Soompi,2844612
Magyar H\xc3\xadrlap,Daily News Hungary,70706
Politiken,The Local,28792
Guam Pacific Daily News,Pacific Daily News,134649
Jakarta Globe,Bali Discovery Tours,12309295
Portfolio,Portfolio,31901
Global Times,FXStreet,3583135
Daily NK,데일리NK,514
Liberian Daily Observer,YAHOO!,108808
Malta Independent Online,The Malta Independent,3624
The Tokyo Reporter (blog),Tokyo Reporter,1166066
The Japan Times,The Japan Times,80890
The Libya Observer,The Libya Observer,873545
Baltic Times,The Baltic Times,15980
Postimees,ERR News,134848
L\xc3\xa4\xc3\xa4ne elu,ERR News,15980
Postimees,ERR News,15980
Postimees,ERR News,15980
MaltaToday,Malta Today,3624
Postimees,ERR News,15980
Postimees,ERR News,15980
Aamulehti,Yle,176964
Kuwait Times,Kuwait Times,132336
Nhan Dan Online,nhandan.org.vn,30321
Malawi24,Malawi24,194088
L\xc3\xabtzebuerger Journal,Letzebuerger Journal,7177
Le Commerce du Levant,L'Orient-Le Jour,209237
Maaseuduntulevaisuus,Yle,125102
Ilta-Sanomat,Yle,222029
Hufvudstadsbladet,Yle,69765
